tick,cur_x,cur_y,cur_yaw,target_x,target_y,target_yaw,force_x,force_y,v_cmd,w_cmd,cur_v
372, 0.2541, 8.4164, -1.4215, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
373, 0.2544, 8.4142, -1.4152, 0.0000, 0.0000, 0.0000, -0.0005, -0.7165, 0.2000, 0.6000, 0.2000
374, 0.2544, 8.4142, -1.4152, 0.0000, 0.0000, 0.0000, -0.0005, -0.7165, 0.2000, -0.6000, 0.2000
375, 0.2544, 8.4142, -1.4152, 0.0000, 0.0000, 0.0000, -0.0005, -0.7165, 0.2000, 0.6000, 0.2000
376, 0.2548, 8.4120, -1.4175, 0.0000, 0.0000, 0.0000, -0.0017, 0.3884, 0.2000, -0.6000, 0.2000
377, 0.2548, 8.4120, -1.4175, 0.0000, 0.0000, 0.0000, -0.0017, 0.3884, 0.2000, 0.6000, 0.2000
378, 0.2548, 8.4120, -1.4175, 0.0000, 0.0000, 0.0000, -0.0017, 0.3884, 0.2000, -0.6000, 0.2000
379, 0.2551, 8.4098, -1.4152, 0.0000, 0.0000, 0.0000, -0.0004, 1.0391, 0.2000, 0.6000, 0.2000
380, 0.2551, 8.4098, -1.4152, 0.0000, 0.0000, 0.0000, -0.0004, 1.0391, 0.2000, -0.6000, 0.2000
381, 0.2555, 8.4076, -1.4175, 0.0000, 0.0000, 0.0000, -0.0009, 1.0818, 0.2000, 0.6000, 0.2000
382, 0.2555, 8.4076, -1.4175, 0.0000, 0.0000, 0.0000, -0.0009, 1.0818, 0.2000, -0.6000, 0.2000
383, 0.2555, 8.4076, -1.4175, 0.0000, 0.0000, 0.0000, -0.0009, 1.0818, 0.2000, 0.6000, 0.2000
384, 0.2558, 8.4054, -1.4238, 0.0000, 0.0000, 0.0000, -0.0023, 1.0073, 0.2000, -0.6000, 0.2000
385, 0.2558, 8.4054, -1.4238, 0.0000, 0.0000, 0.0000, -0.0023, 1.0073, 0.2000, 0.6000, 0.2000
386, 0.2558, 8.4054, -1.4238, 0.0000, 0.0000, 0.0000, -0.0023, 1.0073, 0.2000, -0.6000, 0.2000
387, 0.2561, 8.4031, -1.4216, 0.0000, 0.0000, 0.0000, -0.0006, 1.0537, 0.2000, 0.6000, 0.2000
388, 0.2561, 8.4031, -1.4216, 0.0000, 0.0000, 0.0000, -0.0006, 1.0537, 0.2000, -0.6000, 0.2000
389, 0.2561, 8.4031, -1.4216, 0.0000, 0.0000, 0.0000, -0.0006, 1.0537, 0.2000, 0.6000, 0.2000
390, 0.2564, 8.4010, -1.4240, 0.0000, 0.0000, 0.0000, -0.0028, 1.0293, 0.2000, -0.6000, 0.2000
391, 0.2564, 8.4010, -1.4240, 0.0000, 0.0000, 0.0000, -0.0028, 1.0293, 0.2000, 0.6000, 0.2000
392, 0.2567, 8.3987, -1.4217, 0.0000, 0.0000, 0.0000, -0.0005, 0.6730, 0.2000, -0.6000, 0.2000
393, 0.2567, 8.3987, -1.4217, 0.0000, 0.0000, 0.0000, -0.0005, 0.6730, 0.2000, 0.6000, 0.2000
394, 0.2567, 8.3987, -1.4217, 0.0000, 0.0000, 0.0000, -0.0005, 0.6730, 0.2000, -0.6000, 0.2000
395, 0.2571, 8.3965, -1.4155, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
396, 0.2571, 8.3965, -1.4155, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
397, 0.2571, 8.3965, -1.4155, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
398, 0.2575, 8.3943, -1.4177, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
399, 0.2575, 8.3943, -1.4177, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
